Feature,Type
rsfmri_c_ngd_dt_ngd_smm,Rest
rsfmri_c_ngd_dt_ngd_vs,Rest
rsfmri_c_ngd_dt_ngd_vta,Rest
rsfmri_c_ngd_fo_ngd_fo,Rest
rsfmri_c_ngd_fo_ngd_n,Rest
rsfmri_c_ngd_fo_ngd_rspltp,Rest
rsfmri_c_ngd_fo_ngd_sa,Rest
rsfmri_c_ngd_fo_ngd_smh,Rest
rsfmri_c_ngd_fo_ngd_smm,Rest
rsfmri_c_ngd_fo_ngd_vs,Rest
rsfmri_c_ngd_fo_ngd_vta,Rest
rsfmri_c_ngd_n_ngd_n,Rest
rsfmri_c_ngd_n_ngd_rspltp,Rest
rsfmri_c_ngd_n_ngd_sa,Rest
rsfmri_c_ngd_n_ngd_smh,Rest
rsfmri_c_ngd_n_ngd_smm,Rest
rsfmri_c_ngd_n_ngd_vs,Rest
rsfmri_c_ngd_n_ngd_vta,Rest
rsfmri_c_ngd_rspltp_ngd_rspltp,Rest
rsfmri_c_ngd_rspltp_ngd_sa,Rest
rsfmri_c_ngd_rspltp_ngd_smh,Rest
rsfmri_c_ngd_rspltp_ngd_smm,Rest
rsfmri_c_ngd_rspltp_ngd_vs,Rest
rsfmri_c_ngd_rspltp_ngd_vta,Rest
rsfmri_c_ngd_sa_ngd_sa,Rest
rsfmri_c_ngd_sa_ngd_vs,Rest
rsfmri_c_ngd_sa_ngd_vta,Rest
rsfmri_c_ngd_smh_ngd_sa,Rest
rsfmri_c_ngd_smh_ngd_smh,Rest
rsfmri_c_ngd_smh_ngd_smm,Rest
rsfmri_c_ngd_smh_ngd_vs,Rest
rsfmri_c_ngd_smh_ngd_vta,Rest
rsfmri_c_ngd_smm_ngd_sa,Rest
rsfmri_c_ngd_smm_ngd_smm,Rest
rsfmri_c_ngd_smm_ngd_vs,Rest
rsfmri_c_ngd_smm_ngd_vta,Rest
rsfmri_c_ngd_vs_ngd_vs,Rest
rsfmri_c_ngd_vta_ngd_vs,Rest
rsfmri_c_ngd_vta_ngd_vta,Rest
rsfmri_cor_ngd_au_scs_aalh,Rest
rsfmri_cor_ngd_au_scs_aarh,Rest
rsfmri_cor_ngd_au_scs_aglh,Rest
rsfmri_cor_ngd_au_scs_agrh,Rest
rsfmri_cor_ngd_au_scs_bs,Rest
rsfmri_cor_ngd_au_scs_cdelh,Rest
rsfmri_cor_ngd_au_scs_cderh,Rest
rsfmri_cor_ngd_au_scs_crcxlh,Rest
rsfmri_cor_ngd_au_scs_crcxrh,Rest
rsfmri_cor_ngd_au_scs_hplh,Rest
rsfmri_cor_ngd_au_scs_hprh,Rest
rsfmri_cor_ngd_au_scs_pllh,Rest
rsfmri_cor_ngd_au_scs_plrh,Rest
rsfmri_cor_ngd_au_scs_ptlh,Rest
rsfmri_cor_ngd_au_scs_ptrh,Rest
rsfmri_cor_ngd_au_scs_thplh,Rest
rsfmri_cor_ngd_au_scs_thprh,Rest
rsfmri_cor_ngd_au_scs_vtdclh,Rest
rsfmri_cor_ngd_au_scs_vtdcrh,Rest
rsfmri_cor_ngd_cerc_scs_aalh,Rest
rsfmri_cor_ngd_cerc_scs_aarh,Rest
rsfmri_cor_ngd_cerc_scs_aglh,Rest
rsfmri_cor_ngd_cerc_scs_agrh,Rest
rsfmri_cor_ngd_cerc_scs_bs,Rest
rsfmri_cor_ngd_cerc_scs_cdelh,Rest
rsfmri_cor_ngd_cerc_scs_cderh,Rest
rsfmri_cor_ngd_cerc_scs_crcxlh,Rest
rsfmri_cor_ngd_cerc_scs_crcxrh,Rest
rsfmri_cor_ngd_cerc_scs_hplh,Rest
rsfmri_cor_ngd_cerc_scs_hprh,Rest
rsfmri_cor_ngd_cerc_scs_pllh,Rest
rsfmri_cor_ngd_cerc_scs_plrh,Rest
rsfmri_cor_ngd_cerc_scs_ptlh,Rest
rsfmri_cor_ngd_cerc_scs_ptrh,Rest
rsfmri_cor_ngd_cerc_scs_thplh,Rest
rsfmri_cor_ngd_cerc_scs_thprh,Rest
rsfmri_cor_ngd_cerc_scs_vtdclh,Rest
rsfmri_cor_ngd_cerc_scs_vtdcrh,Rest
rsfmri_cor_ngd_copa_scs_aalh,Rest
rsfmri_cor_ngd_copa_scs_aarh,Rest
rsfmri_cor_ngd_copa_scs_aglh,Rest
rsfmri_cor_ngd_copa_scs_agrh,Rest
rsfmri_cor_ngd_copa_scs_bs,Rest
rsfmri_cor_ngd_copa_scs_cdelh,Rest
rsfmri_cor_ngd_copa_scs_cderh,Rest
rsfmri_cor_ngd_copa_scs_crcxlh,Rest
rsfmri_cor_ngd_copa_scs_crcxrh,Rest
rsfmri_cor_ngd_copa_scs_hplh,Rest
rsfmri_cor_ngd_copa_scs_hprh,Rest
rsfmri_cor_ngd_copa_scs_pllh,Rest
rsfmri_cor_ngd_copa_scs_plrh,Rest
rsfmri_cor_ngd_copa_scs_ptlh,Rest
rsfmri_cor_ngd_copa_scs_ptrh,Rest
rsfmri_cor_ngd_copa_scs_thplh,Rest
rsfmri_cor_ngd_copa_scs_thprh,Rest
rsfmri_cor_ngd_copa_scs_vtdclh,Rest
rsfmri_cor_ngd_copa_scs_vtdcrh,Rest
rsfmri_cor_ngd_df_scs_aalh,Rest
rsfmri_cor_ngd_df_scs_aarh,Rest
rsfmri_cor_ngd_df_scs_aglh,Rest
rsfmri_cor_ngd_df_scs_agrh,Rest
rsfmri_cor_ngd_df_scs_bs,Rest
rsfmri_cor_ngd_df_scs_cdelh,Rest
rsfmri_cor_ngd_df_scs_cderh,Rest
rsfmri_cor_ngd_df_scs_crcxlh,Rest
